source	section	disposition	target_or_reason
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.6 DOM identity and browser-owned state	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.7 Direct action patches versus a CQRS update stream	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.8 Alternatives and tradeoffs	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.9 Why not retain a server-side VDOM initially?	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	6. Language server and editor implications > 6.1 Two products, not one	retained for priority 2	knowledge/architecture/template-language.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	6. Language server and editor implications > 6.2 Recommended LSP architecture	retained for priority 2	knowledge/architecture/template-language.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	6. Language server and editor implications > 6.3 Capability plan	retained for priority 2	knowledge/architecture/template-language.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	6. Language server and editor implications > 6.4 Template type checking	retained for priority 2	knowledge/architecture/template-language.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	6. Language server and editor implications > 6.5 Formatting rules	retained for priority 2	knowledge/architecture/template-language.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	8. Security and correctness requirements > 8.1 Output encoding	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	8. Security and correctness requirements > 8.2 HTTP and session security	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	8. Security and correctness requirements > 8.3 Resource bounds	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	8. Security and correctness requirements > 8.4 Reproducibility and supply chain	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	11. Delivery plan and rough effort > Phase 0 — compatibility spike (2–4 engineer-weeks)	not migrated	Historical estimates are not canonical status.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	11. Delivery plan and rough effort > Phase 1 — template compiler vertical slice (4–8 engineer-weeks)	not migrated	Historical estimates are not canonical status.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	11. Delivery plan and rough effort > Phase 2 — usable backend framework (6–10 engineer-weeks)	not migrated	Historical estimates are not canonical status.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	11. Delivery plan and rough effort > Phase 3 — language tooling alpha (6–12 engineer-weeks)	not migrated	Historical estimates are not canonical status.
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	11. Delivery plan and rough effort > Phase 4 — production hardening and richer composition (8–16+ engineer-weeks)	not migrated	Historical estimates are not canonical status.
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 1. `??` defaults are call-site rewrites, not component defaults	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 2. Attribute values cross three languages without a visible boundary	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 3. The quoted-attribute scanner silently rewrites backslashes	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 4. Child interpolation has a hidden, name-based type rule	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 5. Standard raw-text elements are parsed as Rocci template bodies	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 6. Attribute syntax cannot express conditional presence	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 7. Component declarations accept shapes that tag calls cannot satisfy	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 8. Control flow pushes collection shaping out of the template	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 9. Template sigils and directive boundaries are predictable but costly for literal content	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 10. Datastar-aware validation is absent, but should not become a second client language	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 11. Page/patch reuse is a composition convention, not a syntax feature	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Detailed findings > 12. SSE helper coverage and diagnostics are adjacent gaps	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Recommended sequence > Before calling the syntax stable	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Recommended sequence > Near-term ergonomics	retained for priority 2	knowledge/audits/rocci-syntax.md
ROCCI_SYNTAX_WEAK_POINTS_REPORT.md	Recommended sequence > Defer until examples justify them	retained for priority 2	knowledge/audits/rocci-syntax.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	4. Proposed Rocci ergonomics > 4.1 Near-term: honest multiline client literals	retained for phase 3	Proposed client syntax requires an atomic decision review.
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	4. Proposed Rocci ergonomics > 4.2 Better for common cases: typed Datastar builders	retained for phase 3	Proposed client syntax requires an atomic decision review.
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	4. Proposed Rocci ergonomics > 4.3 Optional declarative keymap helper	retained for phase 3	Proposed client syntax requires an atomic decision review.
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	4. Proposed Rocci ergonomics > 4.4 What not to build	retained for phase 3	Proposed client syntax requires an atomic decision review.
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	5. Is Snake a bad Datastar demo? > What the demo shows well	retained for priority 2	knowledge/case-studies/snake-input.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	5. Is Snake a bad Datastar demo? > What the demo shows poorly	retained for priority 2	knowledge/case-studies/snake-input.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	7. Recommendation > For the current repository	retained for priority 2	knowledge/case-studies/snake-input.md
SNAKE_DATASTAR_ARCHITECTURE_REPORT.md	7. Recommendation > For Rocci	retained for priority 2	knowledge/case-studies/snake-input.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	3. Rocci's current fit and gaps > 3.1 What already works	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	3. Rocci's current fit and gaps > 3.2 What is missing	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	4. Recommended programming model > 4.1 Illustrative declaration	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	4. Recommended programming model > 4.2 Inline browser behavior	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	4. Recommended programming model > 4.3 Prop and event contract	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	4. Recommended programming model > 4.4 Ownership rule	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	5. Runtime design > 5.1 Minimal built-in runtime	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	5. Runtime design > 5.2 Templates and shadow DOM later	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	5. Runtime design > 5.3 Optional Rocket provider	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	6. Compiler and tooling changes > 6.1 AST and parser	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	6. Compiler and tooling changes > 6.2 Lowering and artifacts	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	6. Compiler and tooling changes > 6.3 CLI and packaging	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	6. Compiler and tooling changes > 6.4 LSP	retained for priority 2	knowledge/research/client-islands.md
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	9. Staged implementation plan > Stage 0: Flow-shaped spike, no language changes	not migrated	Illustrative plan is not approved implementation status.
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	9. Staged implementation plan > Stage 1: First-class external-module islands	not migrated	Illustrative plan is not approved implementation status.
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	9. Staged implementation plan > Stage 2: Colocation and editor support	not migrated	Illustrative plan is not approved implementation status.
DATASTAR_ROCKET_IN_ROCCI_REPORT.md	9. Staged implementation plan > Stage 3: Private views, shadow DOM, and Datastar integration	not migrated	Illustrative plan is not approved implementation status.
ROCDOWN_FORMAT_REPORT.md	2. Goals and non-goals > Goals	migrated summary	knowledge/decisions/markdown-first-explicit-islands.md
ROCDOWN_FORMAT_REPORT.md	2. Goals and non-goals > Non-goals for the first version	migrated summary	knowledge/decisions/markdown-first-explicit-islands.md
ROCDOWN_FORMAT_REPORT.md	4. Document grammar > 4.1 Declaration recognition	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	4. Document grammar > 4.2 Closing braces	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	4. Document grammar > 4.3 Unknown and misplaced declarations	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics > 5.1 `@page`	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics > 5.2 `@roc`	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics > 5.3 `@component`	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics > 5.4 `@render`	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics > 5.5 `@css`	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics > 5.6 `@fixture`	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics > 5.7 `@context`, `@init`, and `@on`	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	5. Directive semantics > 5.8 `@island` (dependent on Rocci island work)	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	6. Markdown profile > Core CommonMark	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	6. Markdown profile > Enabled GFM-style extensions	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	6. Markdown profile > Recommended Rocdown additions	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	6. Markdown profile > Deferred extensions	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	6. Markdown profile > Raw HTML	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	6. Markdown profile > Code fences	migrated current subset	knowledge/architecture/rocdown-format.md
ROCDOWN_FORMAT_REPORT.md	8. Static generation and routing > Route convention	migrated current implementation	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_FORMAT_REPORT.md	8. Static generation and routing > Build graph	migrated current implementation	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_FORMAT_REPORT.md	8. Static generation and routing > Development server	migrated current implementation	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_FORMAT_REPORT.md	8. Static generation and routing > Hybrid output	migrated current implementation	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_FORMAT_REPORT.md	9. Compiler architecture > Parsing order	migrated summary	knowledge/architecture/rocdown-format.md; knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_FORMAT_REPORT.md	9. Compiler architecture > Output artifact set	migrated summary	knowledge/architecture/rocdown-format.md; knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_FORMAT_REPORT.md	13. Alternatives considered > MDX-style inline expressions and component tags	not migrated	Rejected alternatives remain in the source report.
ROCDOWN_FORMAT_REPORT.md	13. Alternatives considered > YAML/TOML frontmatter	not migrated	Rejected alternatives remain in the source report.
ROCDOWN_FORMAT_REPORT.md	13. Alternatives considered > Executable fenced code	not migrated	Rejected alternatives remain in the source report.
ROCDOWN_FORMAT_REPORT.md	13. Alternatives considered > Treat all unknown `@name` lines as errors	not migrated	Rejected alternatives remain in the source report.
ROCDOWN_FORMAT_REPORT.md	13. Alternatives considered > Parse the whole file as Rocci with Markdown sugar	not migrated	Rejected alternatives remain in the source report.
ROCDOWN_FORMAT_REPORT.md	14. Implementation plan > Stage 0: executable design spike	not migrated	Historical plan is superseded by current code and the Rocs plan.
ROCDOWN_FORMAT_REPORT.md	14. Implementation plan > Stage 1: useful static MVP	not migrated	Historical plan is superseded by current code and the Rocs plan.
ROCDOWN_FORMAT_REPORT.md	14. Implementation plan > Stage 2: server/hybrid integration	not migrated	Historical plan is superseded by current code and the Rocs plan.
ROCDOWN_FORMAT_REPORT.md	14. Implementation plan > Stage 3: Rocci-native islands	not migrated	Historical plan is superseded by current code and the Rocs plan.
ROCDOWN_FORMAT_REPORT.md	14. Implementation plan > Stage 4: content collections, only after the page model is stable	not migrated	Historical plan is superseded by current code and the Rocs plan.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	1. What “state of the art” means in 2026 > 1.1 Authoring	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	1. What “state of the art” means in 2026 > 1.2 Information architecture	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	1. What “state of the art” means in 2026 > 1.3 Compilation and integrity	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	1. What “state of the art” means in 2026 > 1.4 Delivery	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	1. What “state of the art” means in 2026 > 1.5 Discovery for humans and agents	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	1. What “state of the art” means in 2026 > 1.6 Operations and governance	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	2. Generator landscape > 2.1 Managed and API-first documentation platforms	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	2. Generator landscape > 2.2 Framework conclusion	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	3. Prominent documentation sites and what they teach > 3.1 Oxide	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	3. Prominent documentation sites and what they teach > 3.2 OpenAI	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	3. Prominent documentation sites and what they teach > 3.3 Anthropic, Google Gemini, and Mistral	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	3. Prominent documentation sites and what they teach > 3.4 Stripe	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	3. Prominent documentation sites and what they teach > 3.5 GitHub Docs	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	3. Prominent documentation sites and what they teach > 3.6 Supabase and Cloudflare	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	3. Prominent documentation sites and what they teach > 3.7 Starlight, VitePress, Material for MkDocs, and Rust’s books	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.1 Goals	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.2 Non-goals for the first release	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.3 Conceptual architecture	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.4 Crate boundaries	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.5 Typed site catalog	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.6 Site configuration	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.7 Discovery and routing	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.8 Navigation model	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.9 Semantic documentation components	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.10 Includes, snippets, and code examples	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.11 API, CLI, and code reference adapters	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.12 Search	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.13 Agent-readable outputs	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.14 Theme contract	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.15 Extension model	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.16 Determinism, caching, and development mode	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	4. Recommended Rocdown product model > 4.17 Security	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.1 Organize around user intent, not repository structure	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.2 Page type contracts	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.2 Page type contracts > Quickstart	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.2 Page type contracts > Tutorial	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.2 Page type contracts > How-to guide	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.2 Page type contracts > Explanation/concept	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.2 Page type contracts > Reference	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.2 Page type contracts > Troubleshooting	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.2 Page type contracts > Changelog, migration, and deprecation	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.3 Universal article contract	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.4 Writing for scanning and action	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.5 Examples and variants	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	5. Content architecture for useful documentation > 5.6 Diagrams, screenshots, and media	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	6. Responsive documentation site design > 6.1 Page anatomy	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	6. Responsive documentation site design > 6.2 Responsive transitions	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	6. Responsive documentation site design > 6.3 Typography and density	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	6. Responsive documentation site design > 6.4 Code blocks	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	6. Responsive documentation site design > 6.5 Tables	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	6. Responsive documentation site design > 6.6 Accessibility baseline	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	6. Responsive documentation site design > 6.7 Performance and resilience	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	7. Validation, testing, and governance > 7.1 Build diagnostics	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	7. Validation, testing, and governance > 7.2 Test layers	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	7. Validation, testing, and governance > 7.3 Editorial workflow	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	7. Validation, testing, and governance > 7.4 Feedback and analytics	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	8. Versioning, localization, and multi-product growth > 8.1 Version only when users need it	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	8. Versioning, localization, and multi-product growth > 8.2 Localization	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	8. Versioning, localization, and multi-product growth > 8.3 Multi-product and multi-repository	retained for priority 2	knowledge/research/documentation-generators.md
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	9. Proposed delivery phases > Phase 0: architectural foundation	not migrated	Superseded by the active implementation plan.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	9. Proposed delivery phases > Phase 1: documentation semantics	not migrated	Superseded by the active implementation plan.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	9. Proposed delivery phases > Phase 2: scale	not migrated	Superseded by the active implementation plan.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	9. Proposed delivery phases > Phase 3: advanced interaction	not migrated	Superseded by the active implementation plan.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	11. Release acceptance checklist > Content and graph	retained as evidence	Detailed acceptance criteria remain in the source report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	11. Release acceptance checklist > UX and responsive behavior	retained as evidence	Detailed acceptance criteria remain in the source report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	11. Release acceptance checklist > Accessibility	retained as evidence	Detailed acceptance criteria remain in the source report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	11. Release acceptance checklist > Performance and build	retained as evidence	Detailed acceptance criteria remain in the source report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	11. Release acceptance checklist > Discovery and operations	retained as evidence	Detailed acceptance criteria remain in the source report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	Sources and further reading > Documentation architecture and generators	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	Sources and further reading > Content design	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	Sources and further reading > Exemplary documentation	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	Sources and further reading > API and agent-oriented systems	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_DOCUMENTATION_GENERATOR_REPORT.md	Sources and further reading > Accessibility, responsiveness, SEO, and performance	not migrated	Bibliography remains attached to the retained report.
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	1. Decision summary > Ownership rule	migrated	knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	4. Architecture > How `.rocci` participates	migrated	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	6. Core contracts > 6.1 Source locations	migrated	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	6. Core contracts > 6.2 Semantic document IR	migrated	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	6. Core contracts > 6.3 Page records	migrated	knowledge/architecture/rocs-documentation-compiler.md
